rank,feature_name,importance
1,tcp_dstport,0.41412633
2,tcp_srcport,0.31603869
3,traffic_asymmetry_ratio,0.11165846
4,tcp_seq,0.08234010
5,tcp_connection_rst,0.04484163
6,tcp_ack,0.02552186
7,dns_retransmission,0.00222859
8,tcp_connection_syn,0.00093348
9,flow_intensity,0.00058915
10,pkt_size_cv,0.00051648
11,udp_port,0.00030980
12,tcp_len,0.00030367
13,dns_qry_name,0.00023015
14,udp_stream,0.00017154
15,tcp_flags,0.00008225
16,tcp_connection_synack,0.00004351
17,iat_regularity,0.00003222
18,tcp_ack_raw,0.00001597
19,tcp_checksum,0.00000727
20,udp_time_delta,0.00000460
21,dns_qry_qu,0.00000309
22,tcp_connection_fin,0.00000117
23,http_content_length,0.00000000
24,http_response,0.00000000
25,tcp_flags_ack,0.00000000
26,http_tls_port,0.00000000
27,dns_qry_type,0.00000000
28,dns_retransmit_request,0.00000000
29,dns_retransmit_request_in,0.00000000
30,mqtt_conflag_cleansess,0.00000000
31,mqtt_conflags,0.00000000
32,mqtt_hdrflags,0.00000000
33,mqtt_len,0.00000000
34,mqtt_msg_decoded_as,0.00000000
35,mqtt_msgtype,0.00000000
36,mqtt_proto_len,0.00000000
37,mqtt_topic_len,0.00000000
38,mqtt_ver,0.00000000
39,mbtcp_len,0.00000000
40,mbtcp_trans_id,0.00000000
41,mbtcp_unit_id,0.00000000
42,conn_efficiency,0.00000000
