rank,feature_name,discriminative_power
1,mqtt_hdrflags,534.72738119
2,mqtt_len,533.06871777
3,mqtt_topic_len,532.31988685
4,mqtt_msgtype,531.95546185
5,udp_port,531.51791655
6,mqtt_proto_len,530.37694700
7,mqtt_ver,530.37694700
8,mqtt_conflags,529.68725405
9,mqtt_conflag_cleansess,529.00097975
10,tcp_seq,528.47967061
11,dns_retransmission,525.80913260
12,udp_time_delta,524.93402158
13,http_tls_port,524.71052031
14,dns_qry_type,524.71052031
15,dns_retransmit_request,524.71052031
16,dns_retransmit_request_in,524.71052031
17,mqtt_msg_decoded_as,524.71052031
18,mbtcp_len,524.71052031
19,mbtcp_trans_id,524.71052031
20,mbtcp_unit_id,524.71052031
21,tcp_connection_fin,523.91389408
22,tcp_dstport,523.84565236
23,tcp_connection_synack,523.69235338
24,tcp_flags_ack,523.57062309
25,tcp_ack_raw,523.56102227
26,tcp_flags,523.51773332
27,tcp_srcport,523.46371496
28,tcp_checksum,523.45575238
29,flow_intensity,523.31708896
30,tcp_len,523.03700607
31,tcp_connection_rst,522.88597102
32,tcp_connection_syn,521.67776271
33,conn_efficiency,521.67776271
34,dns_qry_qu,521.61210552
35,tcp_ack,520.25556923
36,http_response,519.00341004
37,iat_regularity,518.38437083
38,http_content_length,513.14702531
39,udp_stream,508.51351380
40,traffic_asymmetry_ratio,507.47133206
41,dns_qry_name,505.88075786
42,pkt_size_cv,9.16299902
