rank,feature_name,importance
1,tcp_srcport,0.13601362
2,tcp_ack,0.11646217
3,traffic_asymmetry_ratio,0.10751444
4,tcp_dstport,0.09172355
5,tcp_seq,0.08544861
6,udp_stream,0.06233892
7,tcp_flags,0.05804163
8,tcp_len,0.04160637
9,pkt_size_cv,0.04121293
10,tcp_ack_raw,0.03909306
11,flow_intensity,0.03900167
12,iat_regularity,0.03208218
13,http_content_length,0.03025362
14,tcp_checksum,0.02674600
15,tcp_connection_rst,0.02483769
16,conn_efficiency,0.01307728
17,tcp_flags_ack,0.01293842
18,tcp_connection_syn,0.01136676
19,mqtt_hdrflags,0.00745531
20,mqtt_msgtype,0.00662990
21,udp_time_delta,0.00347535
22,dns_qry_name,0.00319363
23,http_response,0.00308017
24,udp_port,0.00176853
25,tcp_connection_synack,0.00124738
26,tcp_connection_fin,0.00115102
27,mqtt_len,0.00113341
28,mqtt_conflags,0.00027399
29,mqtt_ver,0.00027185
30,mqtt_proto_len,0.00018308
31,mqtt_topic_len,0.00018001
32,mqtt_conflag_cleansess,0.00013399
33,dns_retransmission,0.00003904
34,dns_qry_qu,0.00002443
35,http_tls_port,0.00000000
36,dns_qry_type,0.00000000
37,dns_retransmit_request,0.00000000
38,dns_retransmit_request_in,0.00000000
39,mqtt_msg_decoded_as,0.00000000
40,mbtcp_len,0.00000000
41,mbtcp_trans_id,0.00000000
42,mbtcp_unit_id,0.00000000
